city,state,zip,latitude,longitude
"East Otis","Massachusetts","01029","42.19402","-73.05067"
"Feeding Hills","Massachusetts","01030","42.06869","-72.67967"
"Gilbertville","Massachusetts","01031","42.32782","-72.19191"
"Goshen","Massachusetts","01032","42.45313","-72.81965"
"Granby","Massachusetts","01033","42.26082","-72.50361"
"Granville","Massachusetts","01034","42.0826","-72.95611"
"Hadley","Massachusetts","01035","42.35563","-72.5692"
"Hampden","Massachusetts","01036","42.0638","-72.4157"
"Hardwick","Massachusetts","01037","42.37063","-72.19466"
"Hatfield","Massachusetts","01038","42.38466","-72.60559"
"Haydenville","Massachusetts","01039","42.41049","-72.69188"
"Holyoke","Massachusetts","01040","42.21251","-72.64109"
"Huntington","Massachusetts","01050","42.29092","-72.87526"
"Leeds","Massachusetts","01053","42.35205","-72.71032"
"Leverett","Massachusetts","01054","42.47381","-72.48768"
"Ludlow","Massachusetts","01056","42.19211","-72.45805"
"Monson","Massachusetts","01057","42.09118","-72.32392"
"Northampton","Massachusetts","01060","42.32218","-72.63126"
"Florence","Massachusetts","01062","42.32146","-72.69244"
"Northampton","Massachusetts","01063","42.31962","-72.63951"
"North Hatfield","Massachusetts","01066","42.40742","-72.64032"
"Oakham","Massachusetts","01068","42.35125","-72.04776"
"Palmer","Massachusetts","01069","42.18798","-72.30578"
"Plainfield","Massachusetts","01070","42.51958","-72.92504"
"Russell","Massachusetts","01071","42.16029","-72.8598"
"Shutesbury","Massachusetts","01072","42.46327","-72.41893"
"Southampton","Massachusetts","01073","42.23084","-72.73856"
"South Barre","Massachusetts","01074","42.3837","-72.10021"
"South Hadley","Massachusetts","01075","42.25672","-72.57928"
"Southwick","Massachusetts","01077","42.05441","-72.77851"
"Thorndike","Massachusetts","01079","42.18508","-72.33406"
"Three Rivers","Massachusetts","01080","42.18228","-72.36515"
"Wales","Massachusetts","01081","42.06232","-72.23085"
"Ware","Massachusetts","01082","42.29816","-72.27676"
"Warren","Massachusetts","01083","42.20652","-72.19906"
"West Chesterfield","Massachusetts","01084","42.38589","-72.88165"
"Westfield","Massachusetts","01085","42.15375","-72.76961"
"West Hatfield","Massachusetts","01088","42.38981","-72.6465"
"West Springfield","Massachusetts","01089","42.12532","-72.65025"
"West Warren","Massachusetts","01092","42.20008","-72.23715"
"Whately","Massachusetts","01093","42.44335","-72.65099"
"Wheelwright","Massachusetts","01094","42.36481","-72.13548"
"Wilbraham","Massachusetts","01095","42.12763","-72.42994"
"Williamsburg","Massachusetts","01096","42.40968","-72.77213"
"Woronoco","Massachusetts","01097","42.17722","-72.83175"
"Worthington","Massachusetts","01098","42.39551","-72.94315"
"Springfield","Massachusetts","01103","42.10443","-72.58997"
"Springfield","Massachusetts","01104","42.13326","-72.56733"
"Springfield","Massachusetts","01105","42.09911","-72.57865"
"Longmeadow","Massachusetts","01106","42.04877","-72.57163"
"Springfield","Massachusetts","01107","42.12116","-72.60642"
"Springfield","Massachusetts","01108","42.0814","-72.55866"
"Springfield","Massachusetts","01109","42.11839","-72.54876"
"Springfield","Massachusetts","01118","42.09476","-72.5253"
"Springfield","Massachusetts","01119","42.12452","-72.51126"
"Springfield","Massachusetts","01128","42.09497","-72.48806"
"Springfield","Massachusetts","01129","42.1211","-72.4877"
"Springfield","Massachusetts","01144","42.10189","-72.59091"
"Indian Orchard","Massachusetts","01151","42.15294","-72.50883"
"Pittsfield","Massachusetts","01201","42.45614","-73.28114"
"Adams","Massachusetts","01220","42.62686","-73.11873"
"Ashley Falls","Massachusetts","01222","42.06242","-73.32146"
"Becket","Massachusetts","01223","42.31118","-73.09835"
"Berkshire","Massachusetts","01224","42.50622","-73.19841"
"Cheshire","Massachusetts","01225","42.56385","-73.1512"
"Dalton","Massachusetts","01226","42.47954","-73.15329"
"Glendale","Massachusetts","01229","42.29411","-73.35227"
"Great Barrington","Massachusetts","01230","42.18197","-73.34244"
"Hinsdale","Massachusetts","01235","42.43181","-73.07336"
"Housatonic","Massachusetts","01236","42.26923","-73.37999"
"Lanesborough","Massachusetts","01237","42.5529","-73.25373"
"Lee","Massachusetts","01238","42.30072","-73.22553"
"Lenox","Massachusetts","01240","42.37567","-73.26466"
"Lenox Dale","Massachusetts","01242","42.3334","-73.24967"
"Middlefield","Massachusetts","01243","42.34752","-73.03467"
